,Release Date,Title,Genre,Runtime,Budget,Revenue
71,2018-12-13,Mary Poppins Returns,Fantasy,131.0,130000000.0,348807090.0
72,1964-10-21,My Fair Lady,Drama,170.0,17000000.0,72661442.0
73,1964-12-14,Zorba the Greek,Drama,142.0,783000.0,9000000.0
74,1965-08-03,Darling,Drama,122.0,0.0,0.0
75,1965-12-22,Doctor Zhivago,Drama,200.0,11000000.0,111858363.0
76,1965-07-29,Ship of Fools,Drama,149.0,0.0,0.0
77,1965-03-29,The Sound of Music,Drama,175.0,8200000.0,286214286.0
78,1965-12-13,A Thousand Clowns,Comedy,118.0,0.0,0.0
79,2004-10-22,Alfie,Comedy,103.0,60000000.0,35060882.0
80,1966-12-12,A Man for All Seasons,Drama,120.0,3900000.0,28350000.0
81,1966-05-25,The Russians Are Coming! The Russians Are Coming!,Comedy,126.0,0.0,0.0
82,1966-12-20,The Sand Pebbles,Adventure,182.0,12000000.0,20000000.0
83,1966-06-22,Who's Afraid of Virginia Woolf?,Drama,131.0,7500000.0,33736689.0
84,1967-07-18,Bonnie and Clyde,Crime,111.0,2500000.0,50700000.0
85,1998-06-26,Doctor Dolittle,Comedy,85.0,71000000.0,294456605.0
86,1967-12-21,The Graduate,Comedy,106.0,3000000.0,104945305.0
87,1967-12-11,Guess Who's Coming to Dinner,Drama,108.0,4000000.0,56666667.0
88,1967-08-02,In the Heat of the Night,Crime,109.0,2000000.0,27379978.0
89,1968-09-19,Funny Girl,Comedy,149.0,14000000.0,52223306.0
90,1968-01-01,The Lion in Winter,Drama,134.0,0.0,0.0
91,1968-09-26,Oliver!,Drama,153.0,10000000.0,37402877.0
92,1968-08-26,"Rachel, Rachel",Drama,101.0,0.0,0.0
93,1968-04-02,Romeo and Juliet,Drama,138.0,0.0,38901218.0
94,1969-12-18,Anne of the Thousand Days,Drama,145.0,0.0,0.0
95,1969-09-23,Butch Cassidy and the Sundance Kid,Western,111.0,6000000.0,102308889.0
96,1969-12-12,"Hello, Dolly!",Comedy,146.0,24000000.0,33208099.0
97,1969-05-25,Midnight Cowboy,Drama,113.0,3600000.0,44785053.0
98,2013-06-20,World War Z,Action,116.0,200000000.0,531865000.0
99,1970-03-05,Airport,Action,137.0,10000000.0,100489151.0
100,1970-09-12,Five Easy Pieces,Drama,98.0,0.0,18099091.0
